"","exp","id","condition","isold","item","rating"
"1","SB2021_e2","SB2021_e2_1","A",0,"cantina","1"
"2","SB2021_e2","SB2021_e2_1","A",1,"wary","6"
"3","SB2021_e2","SB2021_e2_1","A",1,"mammogram","6"
"4","SB2021_e2","SB2021_e2_1","A",0,"bereaved","1"
"5","SB2021_e2","SB2021_e2_1","A",1,"houseplant","6"
"6","SB2021_e2","SB2021_e2_1","A",0,"timecard","1"
"7","SB2021_e2","SB2021_e2_1","A",1,"destiny","6"
"8","SB2021_e2","SB2021_e2_1","A",0,"urethane","1"
"9","SB2021_e2","SB2021_e2_1","A",0,"affection","1"
"10","SB2021_e2","SB2021_e2_1","A",0,"headphone","1"
"11","SB2021_e2","SB2021_e2_1","A",1,"stability","6"
"12","SB2021_e2","SB2021_e2_1","A",0,"hydrometer","1"
"13","SB2021_e2","SB2021_e2_1","A",1,"distract","6"
"14","SB2021_e2","SB2021_e2_1","A",0,"scorn","1"
"15","SB2021_e2","SB2021_e2_1","A",1,"carnal","6"
"16","SB2021_e2","SB2021_e2_1","A",0,"edema","1"
"17","SB2021_e2","SB2021_e2_1","A",1,"burlesque","6"
"18","SB2021_e2","SB2021_e2_1","A",1,"aspirate","6"
"19","SB2021_e2","SB2021_e2_1","A",1,"agenda","6"
"20","SB2021_e2","SB2021_e2_1","A",1,"workbook","6"
"21","SB2021_e2","SB2021_e2_1","A",1,"precious","6"
"22","SB2021_e2","SB2021_e2_1","A",0,"valid","1"
"23","SB2021_e2","SB2021_e2_1","A",0,"bulky","1"
"24","SB2021_e2","SB2021_e2_1","A",0,"prominent","2"
"25","SB2021_e2","SB2021_e2_1","A",0,"dryness","1"
"26","SB2021_e2","SB2021_e2_1","A",0,"grazer","2"
"27","SB2021_e2","SB2021_e2_1","A",0,"boring","1"
"28","SB2021_e2","SB2021_e2_1","A",1,"schnapps","6"
"29","SB2021_e2","SB2021_e2_1","A",1,"fetus","6"
"30","SB2021_e2","SB2021_e2_1","A",1,"urinary","6"
"31","SB2021_e2","SB2021_e2_1","A",1,"slightly","6"
"32","SB2021_e2","SB2021_e2_1","A",1,"soul","6"
"33","SB2021_e2","SB2021_e2_1","A",1,"absinthe","6"
"34","SB2021_e2","SB2021_e2_1","A",1,"tendonitis","6"
"35","SB2021_e2","SB2021_e2_1","A",1,"excrete","6"
"36","SB2021_e2","SB2021_e2_1","A",1,"poisonous","6"
"37","SB2021_e2","SB2021_e2_1","A",1,"cockfight","6"
"38","SB2021_e2","SB2021_e2_1","A",0,"paralegal","1"
"39","SB2021_e2","SB2021_e2_1","A",1,"needy","5"
"40","SB2021_e2","SB2021_e2_1","A",1,"childbed","5"
"41","SB2021_e2","SB2021_e2_1","A",0,"persuader","2"
"42","SB2021_e2","SB2021_e2_1","A",0,"donate","2"
"43","SB2021_e2","SB2021_e2_1","A",1,"cyan","6"
"44","SB2021_e2","SB2021_e2_1","A",0,"condition","1"
"45","SB2021_e2","SB2021_e2_1","A",1,"carjacker","6"
"46","SB2021_e2","SB2021_e2_1","A",0,"peepshow","1"
"47","SB2021_e2","SB2021_e2_1","A",1,"shrinkage","6"
"48","SB2021_e2","SB2021_e2_1","A",0,"changer","1"
"49","SB2021_e2","SB2021_e2_1","A",0,"cryptogram","1"
"50","SB2021_e2","SB2021_e2_1","A",0,"tannery","2"
"51","SB2021_e2","SB2021_e2_1","A",0,"torturer","1"
"52","SB2021_e2","SB2021_e2_1","A",0,"backless","1"
"53","SB2021_e2","SB2021_e2_1","A",1,"afterbirth","6"
"54","SB2021_e2","SB2021_e2_1","A",0,"otherwise","2"
"55","SB2021_e2","SB2021_e2_1","A",1,"thrush","6"
"56","SB2021_e2","SB2021_e2_1","A",0,"extractor","2"
"57","SB2021_e2","SB2021_e2_1","A",1,"gunsmith","6"
"58","SB2021_e2","SB2021_e2_1","A",1,"chairlady","6"
"59","SB2021_e2","SB2021_e2_1","A",1,"flail","6"
"60","SB2021_e2","SB2021_e2_1","A",0,"kerchief","1"
"61","SB2021_e2","SB2021_e2_1","A",1,"canola","6"
"62","SB2021_e2","SB2021_e2_1","A",1,"dinette","6"
"63","SB2021_e2","SB2021_e2_1","A",1,"stoma","6"
"64","SB2021_e2","SB2021_e2_1","A",0,"naughty","1"
"65","SB2021_e2","SB2021_e2_1","A",0,"wherever","1"
"66","SB2021_e2","SB2021_e2_1","A",1,"endorphin","6"
"67","SB2021_e2","SB2021_e2_1","A",1,"jambalaya","6"
"68","SB2021_e2","SB2021_e2_1","A",1,"schooldays","6"
"69","SB2021_e2","SB2021_e2_1","A",1,"simple","6"
"70","SB2021_e2","SB2021_e2_1","A",0,"breadfruit","1"
"71","SB2021_e2","SB2021_e2_1","A",1,"splendid","5"
"72","SB2021_e2","SB2021_e2_1","A",0,"cruel","2"
"73","SB2021_e2","SB2021_e2_1","A",1,"propose","6"
"74","SB2021_e2","SB2021_e2_1","A",1,"adopt","6"
"75","SB2021_e2","SB2021_e2_1","A",1,"mulled","6"
"76","SB2021_e2","SB2021_e2_1","A",1,"unsafe","1"
"77","SB2021_e2","SB2021_e2_1","A",0,"enough","1"
"78","SB2021_e2","SB2021_e2_1","A",0,"fairytale","1"
"79","SB2021_e2","SB2021_e2_1","A",0,"spirit","1"
"80","SB2021_e2","SB2021_e2_1","A",0,"sheathe","1"
"81","SB2021_e2","SB2021_e2_1","A",0,"malformed","2"
"82","SB2021_e2","SB2021_e2_1","A",0,"extremity","1"
"83","SB2021_e2","SB2021_e2_1","A",0,"grappler","1"
"84","SB2021_e2","SB2021_e2_1","A",0,"dumb","1"
"85","SB2021_e2","SB2021_e2_1","A",0,"spearfish","1"
"86","SB2021_e2","SB2021_e2_1","A",0,"guardrail","1"
"87","SB2021_e2","SB2021_e2_1","A",1,"such","1"
"88","SB2021_e2","SB2021_e2_1","A",0,"heliport","1"
